"Date","Tenant Name","Net Sales"
"2022-03-22","Beachside Shave Ice","458"
"2022-03-23","Beachside Shave Ice",NULL
"2022-03-24","Beachside Shave Ice","761"
"2022-03-25","Beachside Shave Ice","492.5"
"2022-03-26","Beachside Shave Ice","558.5"
"2022-03-27","Beachside Shave Ice",NULL
"2022-03-28","Beachside Shave Ice","794"
"2022-03-29","Beachside Shave Ice","671.5"
"2022-03-30","Beachside Shave Ice",NULL
"2022-03-31","Beachside Shave Ice","521"
"2022-04-01","Beachside Shave Ice","285"
"2022-04-02","Beachside Shave Ice","605"
"2022-04-04","Beachside Shave Ice","611"
"2022-04-05","Beachside Shave Ice","716.5"
"2022-04-06","Beachside Shave Ice",NULL
"2022-04-07","Beachside Shave Ice","608.5"
"2022-04-08","Beachside Shave Ice","569.5"
"2022-04-09","Beachside Shave Ice","490.5"
"2022-04-11","Beachside Shave Ice","929"
"2022-04-12","Beachside Shave Ice","644.5"
"2022-04-13","Beachside Shave Ice",NULL
"2022-04-14","Beachside Shave Ice","803"
"2022-04-15","Beachside Shave Ice","747.5"
"2022-04-16","Beachside Shave Ice","334.5"
"2022-04-18","Beachside Shave Ice","540"
"2022-04-19","Beachside Shave Ice","368"
"2022-04-20","Beachside Shave Ice",NULL
"2022-04-21","Beachside Shave Ice","376.5"
"2022-04-22","Beachside Shave Ice","569.5"
"2022-04-23","Beachside Shave Ice","529"
"2022-04-25","Beachside Shave Ice","388.5"
"2022-04-26","Beachside Shave Ice","551"
"2022-04-27","Beachside Shave Ice",NULL
"2022-04-28","Beachside Shave Ice",NULL
"2022-04-29","Beachside Shave Ice","180"
"2022-04-30","Beachside Shave Ice","470.5"
"2022-05-01","Beachside Shave Ice",NULL
"2022-05-02","Beachside Shave Ice","383.5"
"2022-05-03","Beachside Shave Ice","319"
"2022-05-04","Beachside Shave Ice","302.5"
"2022-05-05","Beachside Shave Ice","259.5"
"2022-05-06","Beachside Shave Ice","381.5"
"2022-05-07","Beachside Shave Ice","573.5"
"2022-05-09","Beachside Shave Ice","408.5"
"2022-05-10","Beachside Shave Ice","164.5"
"2022-05-11","Beachside Shave Ice","56"
"2022-05-12","Beachside Shave Ice","286.5"
"2022-05-13","Beachside Shave Ice","738"
"2022-05-14","Beachside Shave Ice","285"
"2022-05-16","Beachside Shave Ice","471"
"2022-05-17","Beachside Shave Ice","580"
"2022-05-18","Beachside Shave Ice",NULL
"2022-05-19","Beachside Shave Ice","381"
"2022-05-20","Beachside Shave Ice","498"
"2022-05-21","Beachside Shave Ice","548.5"
"2022-05-23","Beachside Shave Ice","375.5"
"2022-05-24","Beachside Shave Ice","590.5"
"2022-05-25","Beachside Shave Ice",NULL
"2022-05-26","Beachside Shave Ice","405.5"
"2022-05-27","Beachside Shave Ice","524"
"2022-05-28","Beachside Shave Ice","497"
"2022-05-30","Beachside Shave Ice","873.5"
"2022-05-31","Beachside Shave Ice","400"
"2022-06-01","Beachside Shave Ice",NULL
"2022-06-02","Beachside Shave Ice","476.5"
"2022-06-03","Beachside Shave Ice","890"
"2022-06-04","Beachside Shave Ice","815.5"
"2022-06-06","Beachside Shave Ice","840.5"
"2022-06-07","Beachside Shave Ice","600.5"
"2022-06-08","Beachside Shave Ice",NULL
"2022-06-09","Beachside Shave Ice","740"
"2022-06-10","Beachside Shave Ice","840"
"2022-06-11","Beachside Shave Ice","895.5"
"2022-06-13","Beachside Shave Ice","899.5"
"2022-06-14","Beachside Shave Ice","865.5"
"2022-06-15","Beachside Shave Ice",NULL
"2022-06-16","Beachside Shave Ice","598.5"
"2022-06-17","Beachside Shave Ice","640"
"2022-06-18","Beachside Shave Ice","590.5"
"2022-06-19","Beachside Shave Ice",NULL
"2022-06-20","Beachside Shave Ice","611"
"2022-06-21","Beachside Shave Ice",NULL
"2022-06-22","Beachside Shave Ice","580"
"2022-06-23","Beachside Shave Ice",NULL
"2022-06-24","Beachside Shave Ice","689"
"2022-06-25","Beachside Shave Ice","441"
"2022-06-27","Beachside Shave Ice","804"
"2022-06-28","Beachside Shave Ice","580.5"
"2022-06-29","Beachside Shave Ice","465.5"
"2022-06-30","Beachside Shave Ice","493"
"2022-07-01","Beachside Shave Ice","695"
"2022-07-02","Beachside Shave Ice","653"
"2022-07-04","Beachside Shave Ice","1876"
"2022-07-05","Beachside Shave Ice","235"
"2022-07-06","Beachside Shave Ice","254.5"
"2022-07-07","Beachside Shave Ice","451"
"2022-07-08","Beachside Shave Ice","522.5"
"2022-07-09","Beachside Shave Ice","768"
"2022-07-11","Beachside Shave Ice","547"
"2022-07-12","Beachside Shave Ice","451.5"
"2022-07-13","Beachside Shave Ice","560.5"
"2022-07-14","Beachside Shave Ice","606"
"2022-07-15","Beachside Shave Ice","683.5"
"2022-07-16","Beachside Shave Ice","672"
"2022-07-18","Beachside Shave Ice","288"
"2022-07-19","Beachside Shave Ice","517.5"
"2022-07-20","Beachside Shave Ice","523"
"2022-07-21","Beachside Shave Ice","707.5"
"2022-07-22","Beachside Shave Ice","691"
"2022-07-23","Beachside Shave Ice","716"
"2022-07-25","Beachside Shave Ice","512.5"
"2022-07-26","Beachside Shave Ice","498.5"
